,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,DÁKITI,"Bad Bunny",5332461,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
2,"All I Want for Christmas Is You","Mariah Carey",5144323,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
3,"Last Christmas",Wham!,4626770,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
4,willow,"Taylor Swift",4219389,https://open.spotify.com/track/3Uo7WG0vmLQ07WB4BDwy7D
5,"Santa Tell Me","Ariana Grande",3711105,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
6,"Rockin' Around The Christmas Tree","Brenda Lee",3602144,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
7,"It's Beginning to Look a Lot like Christmas","Michael Bublé",3562260,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
8,"Jingle Bell Rock","Bobby Helms",3421782,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya
9,"Mood (feat. iann dior)",24kGoldn,3379920,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
10,positions,"Ariana Grande",3305386,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
11,BICHOTA,"KAROL G",3302850,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1
12,"It's the Most Wonderful Time of the Year","Andy Williams",3195312,https://open.spotify.com/track/1IcR6RlgvDczfvoWJSSY2A
13,"Blinding Lights","The Weeknd",2916805,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
14,"champagne problems","Taylor Swift",2904856,https://open.spotify.com/track/0sY6ZUTh4yoctD8VIXz339
15,"Underneath the Tree","Kelly Clarkson",2804701,https://open.spotify.com/track/3nAp4IvdMPPWEH9uuXFFV5
16,"LA NOCHE DE ANOCHE","Bad Bunny",2773236,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
17,Dynamite,BTS,2758299,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
18,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",2672770,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
19,"no body, no crime (feat. HAIM)","Taylor Swift",2664830,https://open.spotify.com/track/6NriykdkRrjQMZo1sfVYUo
20,34+35,"Ariana Grande",2621352,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
21,"gold rush","Taylor Swift",2585649,https://open.spotify.com/track/5BK0uqwY9DNfZ630STAEaq
22,"Therefore I Am","Billie Eilish",2559958,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
23,"‘tis the damn season","Taylor Swift",2491909,https://open.spotify.com/track/4GBkffrtA51p17JH35irGA
24,Mistletoe,"Justin Bieber",2365525,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA
25,"Let It Snow! Let It Snow! Let It Snow!","Dean Martin",2357738,https://open.spotify.com/track/2uFaJJtFpPDc5Pa95XzTvg
26,"Feliz Navidad","José Feliciano",2335057,https://open.spotify.com/track/3qCeq0rWK67SoBDgFd2sId
27,"tolerate it","Taylor Swift",2254492,https://open.spotify.com/track/0PurA4JVJ8YQgSVopY8fn6
28,"Monster (Shawn Mendes & Justin Bieber)","Shawn Mendes",2234755,https://open.spotify.com/track/1HbA4N1MiOsPthALesGFR1
29,"Do They Know It's Christmas? - 1984 Version","Band Aid",2227917,https://open.spotify.com/track/0247StOpd3AkeBQzANX4Zf
30,"Sleigh Ride","The Ronettes",2226212,https://open.spotify.com/track/7fUYUcWy853HS8YJn0b3Sr
31,"What You Know Bout Love","Pop Smoke",2217257,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
32,"Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)","Frank Sinatra",2215393,https://open.spotify.com/track/4kKdvXD0ez7jp1296JmAts
33,happiness,"Taylor Swift",2116436,https://open.spotify.com/track/73YUReisjb3A9ActdLLjJQ
34,Whoopty,CJ,2090417,https://open.spotify.com/track/5vGLcdRuSbUhD8ScwsGSdA
35,Hawái,Maluma,2080443,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
36,"Holly Jolly Christmas","Michael Bublé",2078440,https://open.spotify.com/track/6tjituizSxwSmBB5vtgHZE
